main_menu_btn_start,Explore<br>Fort
main_menu_btn_tour,Tour<br>Fort
main_menu_btn_settings,Settings
main_menu_btn_exit,Quit
settings_menu_btn_graphics,Graphics
settings_menu_btn_audio,Audio
settings_menu_btn_gameplay,Gameplay
settings_menu_btn_cancel,Cancel
settings_menu_btn_confirm,OK
graphics_menu_dropdown_texture_quality,Graphics Quality
graphics_menu_texture_quality_high,High
graphics_menu_texture_quality_medium,Medium
graphics_menu_texture_quality_low,Low
audio_menu_slider_mastervolume,Master Volume
